change_value,num_coins,runtime,coins,denominations
2731,48,0.0060520172119140625,"[1, 0, 1, 0, 1, 0, 45]","[1, 2, 6, 12, 24, 48, 60]"
2731,22,0.005146980285644531,"[0, 3, 1, 0, 18]","[1, 6, 13, 37, 150]"
2731,92,0.016397953033447266,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 91]","[1, 2, 4, 6, 8, 10, 12, 14, 16, 18, 20, 22, 24, 26, 28, 30]"
2774,48,0.006804943084716797,"[0, 1, 0, 1, 0, 0, 46]","[1, 2, 6, 12, 24, 48, 60]"
2774,20,0.005203962326049805,"[0, 0, 0, 2, 18]","[1, 6, 13, 37, 150]"
2774,93,0.012151002883911133,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 92]","[1, 2, 4, 6, 8, 10, 12, 14, 16, 18, 20, 22, 24, 26, 28, 30]"
2817,50,0.0063898563385009766,"[1, 1, 1, 0, 0, 1, 46]","[1, 2, 6, 12, 24, 48, 60]"
2817,22,0.005187034606933594,"[0, 1, 0, 3, 18]","[1, 6, 13, 37, 150]"
2817,95,0.012391090393066406,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 93]","[1, 2, 4, 6, 8, 10, 12, 14, 16, 18, 20, 22, 24, 26, 28, 30]"
2860,50,0.006505012512207031,"[0, 2, 0, 0, 0, 2, 46]","[1, 2, 6, 12, 24, 48, 60]"
2860,24,0.006721973419189453,"[4, 1, 0, 0, 19]","[1, 6, 13, 37, 150]"
2860,96,0.014176130294799805,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 95]","[1, 2, 4, 6, 8, 10, 12, 14, 16, 18, 20, 22, 24, 26, 28, 30]"
2903,53,0.0066070556640625,"[1, 2, 1, 1, 0, 0, 48]","[1, 2, 6, 12, 24, 48, 60]"
2903,24,0.005212068557739258,"[3, 0, 1, 1, 19]","[1, 6, 13, 37, 150]"
2903,98,0.012537002563476562,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 96]","[1, 2, 4, 6, 8, 10, 12, 14, 16, 18, 20, 22, 24, 26, 28, 30]"
2946,50,0.00648188591003418,"[0, 0, 1, 0, 0, 0, 49]","[1, 2, 6, 12, 24, 48, 60]"
2946,26,0.005259990692138672,"[3, 1, 1, 2, 19]","[1, 6, 13, 37, 150]"
2946,99,0.012598991394042969,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 98]","[1, 2, 4, 6, 8, 10, 12, 14, 16, 18, 20, 22, 24, 26, 28, 30]"
2989,51,0.0067081451416015625,"[1, 0, 0, 0, 0, 1, 49]","[1, 2, 6, 12, 24, 48, 60]"
2989,26,0.005424022674560547,"[2, 0, 2, 3, 19]","[1, 6, 13, 37, 150]"
2989,101,0.012865781784057617,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 99]","[1, 2, 4, 6, 8, 10, 12, 14, 16, 18, 20, 22, 24, 26, 28, 30]"
3032,53,0.006705045700073242,"[0, 1, 1, 0, 1, 0, 50]","[1, 2, 6, 12, 24, 48, 60]"
3032,23,0.005403041839599609,"[0, 1, 2, 0, 20]","[1, 6, 13, 37, 150]"
3032,102,0.01305389404296875,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 101]","[1, 2, 4, 6, 8, 10, 12, 14, 16, 18, 20, 22, 24, 26, 28, 30]"
3075,54,0.008260965347290039,"[1, 1, 0, 1, 0, 0, 51]","[1, 2, 6, 12, 24, 48, 60]"
3075,23,0.007851839065551758,"[1, 0, 0, 2, 20]","[1, 6, 13, 37, 150]"
3075,104,0.01421499252319336,"[1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 102]","[1, 2, 4, 6, 8, 10, 12, 14, 16, 18, 20, 22, 24, 26, 28, 30]"
3118,55,0.0069310665130615234,"[0, 2, 1, 0, 0, 1, 51]","[1, 2, 6, 12, 24, 48, 60]"
3118,25,0.006701946258544922,"[1, 1, 0, 3, 20]","[1, 6, 13, 37, 150]"
3118,104,0.016338825225830078,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 103]","[1, 2, 4, 6, 8, 10, 12, 14, 16, 18, 20, 22, 24, 26, 28, 30]"
3161,56,0.006968021392822266,"[1, 2, 0, 0, 0, 2, 51]","[1, 2, 6, 12, 24, 48, 60]"
3161,25,0.005741119384765625,"[0, 0, 1, 4, 20]","[1, 6, 13, 37, 150]"
3161,107,0.01364898681640625,"[1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 105]","[1, 2, 4, 6, 8, 10, 12, 14, 16, 18, 20, 22, 24, 26, 28, 30]"
3204,54,0.007230043411254883,"[0, 0, 0, 0, 1, 0, 53]","[1, 2, 6, 12, 24, 48, 60]"
3204,27,0.006733894348144531,"[4, 0, 1, 1, 21]","[1, 6, 13, 37, 150]"
3204,107,0.015465021133422852,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 106]","[1, 2, 4, 6, 8, 10, 12, 14, 16, 18, 20, 22, 24, 26, 28, 30]"
3247,56,0.007592201232910156,"[1, 0, 1, 0, 0, 0, 54]","[1, 2, 6, 12, 24, 48, 60]"
3247,29,0.005864143371582031,"[4, 1, 1, 2, 21]","[1, 6, 13, 37, 150]"
3247,110,0.01648402214050293,"[1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 108]","[1, 2, 4, 6, 8, 10, 12, 14, 16, 18, 20, 22, 24, 26, 28, 30]"
3290,56,0.008692026138305664,"[0, 1, 0, 0, 0, 1, 54]","[1, 2, 6, 12, 24, 48, 60]"
3290,29,0.00592494010925293,"[3, 0, 2, 3, 21]","[1, 6, 13, 37, 150]"
3290,110,0.014281034469604492,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 109]","[1, 2, 4, 6, 8, 10, 12, 14, 16, 18, 20, 22, 24, 26, 28, 30]"
3333,59,0.007585048675537109,"[1, 1, 1, 0, 1, 0, 55]","[1, 2, 6, 12, 24, 48, 60]"
3333,26,0.006103038787841797,"[1, 1, 2, 0, 22]","[1, 6, 13, 37, 150]"
3333,113,0.017267942428588867,"[1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 111]","[1, 2, 4, 6, 8, 10, 12, 14, 16, 18, 20, 22, 24, 26, 28, 30]"
3376,59,0.007953882217407227,"[0, 2, 0, 1, 0, 0, 56]","[1, 2, 6, 12, 24, 48, 60]"
3376,26,0.005957126617431641,"[2, 0, 0, 2, 22]","[1, 6, 13, 37, 150]"
3376,113,0.014583110809326172,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 112]","[1, 2, 4, 6, 8, 10, 12, 14, 16, 18, 20, 22, 24, 26, 28, 30]"
3419,61,0.007870912551879883,"[1, 2, 1, 0, 0, 1, 56]","[1, 2, 6, 12, 24, 48, 60]"
3419,28,0.006201028823852539,"[2, 1, 0, 3, 22]","[1, 6, 13, 37, 150]"
3419,115,0.014782905578613281,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 113]","[1, 2, 4, 6, 8, 10, 12, 14, 16, 18, 20, 22, 24, 26, 28, 30]"
3462,59,0.007873058319091797,"[0, 0, 1, 0, 0, 2, 56]","[1, 2, 6, 12, 24, 48, 60]"
3462,25,0.0062580108642578125,"[0, 2, 0, 0, 23]","[1, 6, 13, 37, 150]"
3462,116,0.014904975891113281,"[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 115]","[1, 2, 4, 6, 8, 10, 12, 14, 16, 18, 20, 22, 24, 26, 28, 30]"
3505,60,0.007867097854614258,"[1, 0, 0, 0, 1, 0, 58]","[1, 2, 6, 12, 24, 48, 60]"
3505,27,0.0070650577545166016,"[0, 3, 0, 1, 23]","[1, 6, 13, 37, 150]"
3505,118,0.018358945846557617,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 116]","[1, 2, 4, 6, 8, 10, 12, 14, 16, 18, 20, 22, 24, 26, 28, 30]"
3548,61,0.007840871810913086,"[0, 1, 1, 0, 0, 0, 59]","[1, 2, 6, 12, 24, 48, 60]"
3548,29,0.006487131118774414,"[0, 4, 0, 2, 23]","[1, 6, 13, 37, 150]"
3548,119,0.018435001373291016,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 118]","[1, 2, 4, 6, 8, 10, 12, 14, 16, 18, 20, 22, 24, 26, 28, 30]"
3591,62,0.009215831756591797,"[1, 1, 0, 0, 0, 1, 59]","[1, 2, 6, 12, 24, 48, 60]"
3591,31,0.007947921752929688,"[0, 5, 0, 3, 23]","[1, 6, 13, 37, 150]"
3591,121,0.01805400848388672,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 119]","[1, 2, 4, 6, 8, 10, 12, 14, 16, 18, 20, 22, 24, 26, 28, 30]"
3634,64,0.008018970489501953,"[0, 2, 1, 0, 1, 0, 60]","[1, 2, 6, 12, 24, 48, 60]"
3634,29,0.0066378116607666016,"[2, 1, 2, 0, 24]","[1, 6, 13, 37, 150]"
3634,122,0.015759944915771484,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 121]","[1, 2, 4, 6, 8, 10, 12, 14, 16, 18, 20, 22, 24, 26, 28, 30]"
3677,65,0.008177042007446289,"[1, 2, 0, 1, 0, 0, 61]","[1, 2, 6, 12, 24, 48, 60]"
3677,29,0.006770133972167969,"[3, 0, 0, 2, 24]","[1, 6, 13, 37, 150]"
3677,124,0.01596212387084961,"[1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 122]","[1, 2, 4, 6, 8, 10, 12, 14, 16, 18, 20, 22, 24, 26, 28, 30]"
3720,62,0.0083770751953125,"[0, 0, 0, 0, 0, 0, 62]","[1, 2, 6, 12, 24, 48, 60]"
3720,31,0.006705045700073242,"[3, 1, 0, 3, 24]","[1, 6, 13, 37, 150]"
3720,124,0.01603388786315918,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 124]","[1, 2, 4, 6, 8, 10, 12, 14, 16, 18, 20, 22, 24, 26, 28, 30]"
3763,65,0.008699178695678711,"[1, 0, 1, 0, 0, 2, 61]","[1, 2, 6, 12, 24, 48, 60]"
3763,26,0.006606101989746094,"[0, 0, 1, 0, 25]","[1, 6, 13, 37, 150]"
3763,127,0.016397953033447266,"[1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 125]","[1, 2, 4, 6, 8, 10, 12, 14, 16, 18, 20, 22, 24, 26, 28, 30]"
3806,65,0.011183023452758789,"[0, 1, 0, 0, 1, 0, 63]","[1, 2, 6, 12, 24, 48, 60]"
3806,28,0.008198022842407227,"[0, 1, 1, 1, 25]","[1, 6, 13, 37, 150]"
3806,127,0.01659703254699707,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 126]","[1, 2, 4, 6, 8, 10, 12, 14, 16, 18, 20, 22, 24, 26, 28, 30]"
3849,67,0.008682012557983398,"[1, 1, 1, 0, 0, 0, 64]","[1, 2, 6, 12, 24, 48, 60]"
3849,30,0.006814002990722656,"[0, 2, 1, 2, 25]","[1, 6, 13, 37, 150]"
3849,130,0.01662588119506836,"[1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 128]","[1, 2, 4, 6, 8, 10, 12, 14, 16, 18, 20, 22, 24, 26, 28, 30]"
3892,67,0.008939981460571289,"[0, 2, 0, 0, 0, 1, 64]","[1, 2, 6, 12, 24, 48, 60]"
3892,32,0.0072400569915771484,"[0, 3, 1, 3, 25]","[1, 6, 13, 37, 150]"
3892,130,0.020399093627929688,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 129]","[1, 2, 4, 6, 8, 10, 12, 14, 16, 18, 20, 22, 24, 26, 28, 30]"
3935,70,0.008919000625610352,"[1, 2, 1, 0, 1, 0, 65]","[1, 2, 6, 12, 24, 48, 60]"
3935,30,0.0072171688079833984,"[0, 0, 0, 5, 25]","[1, 6, 13, 37, 150]"
3935,133,0.021181106567382812,"[1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 131]","[1, 2, 4, 6, 8, 10, 12, 14, 16, 18, 20, 22, 24, 26, 28, 30]"
3978,68,0.008744955062866211,"[0, 0, 1, 1, 0, 0, 66]","[1, 2, 6, 12, 24, 48, 60]"
3978,32,0.007328033447265625,"[4, 0, 0, 2, 26]","[1, 6, 13, 37, 150]"
3978,133,0.019990921020507812,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 132]","[1, 2, 4, 6, 8, 10, 12, 14, 16, 18, 20, 22, 24, 26, 28, 30]"
4021,68,0.010308980941772461,"[1, 0, 0, 0, 0, 0, 67]","[1, 2, 6, 12, 24, 48, 60]"
4021,34,0.007190227508544922,"[4, 1, 0, 3, 26]","[1, 6, 13, 37, 150]"
4021,135,0.017236948013305664,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 134]","[1, 2, 4, 6, 8, 10, 12, 14, 16, 18, 20, 22, 24, 26, 28, 30]"
4064,70,0.009189128875732422,"[0, 1, 1, 0, 0, 2, 66]","[1, 2, 6, 12, 24, 48, 60]"
4064,29,0.007233142852783203,"[1, 0, 1, 0, 27]","[1, 6, 13, 37, 150]"
4064,136,0.018338918685913086,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 135]","[1, 2, 4, 6, 8, 10, 12, 14, 16, 18, 20, 22, 24, 26, 28, 30]"
4107,71,0.010368108749389648,"[1, 1, 0, 0, 1, 0, 68]","[1, 2, 6, 12, 24, 48, 60]"
4107,31,0.0072710514068603516,"[1, 1, 1, 1, 27]","[1, 6, 13, 37, 150]"
4107,138,0.01783609390258789,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 136]","[1, 2, 4, 6, 8, 10, 12, 14, 16, 18, 20, 22, 24, 26, 28, 30]"
4150,72,0.009482145309448242,"[0, 2, 1, 0, 0, 0, 69]","[1, 2, 6, 12, 24, 48, 60]"
4150,31,0.00737309455871582,"[0, 0, 2, 2, 27]","[1, 6, 13, 37, 150]"
4150,139,0.021759033203125,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 138]","[1, 2, 4, 6, 8, 10, 12, 14, 16, 18, 20, 22, 24, 26, 28, 30]"
4193,73,0.009465932846069336,"[1, 2, 0, 0, 0, 1, 69]","[1, 2, 6, 12, 24, 48, 60]"
4193,33,0.007730007171630859,"[0, 1, 2, 3, 27]","[1, 6, 13, 37, 150]"
4193,141,0.01845097541809082,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 139]","[1, 2, 4, 6, 8, 10, 12, 14, 16, 18, 20, 22, 24, 26, 28, 30]"
4236,71,0.009637117385864258,"[0, 0, 0, 0, 0, 2, 69]","[1, 2, 6, 12, 24, 48, 60]"
4236,33,0.010426044464111328,"[1, 0, 0, 5, 27]","[1, 6, 13, 37, 150]"
4236,142,0.019353866577148438,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 141]","[1, 2, 4, 6, 8, 10, 12, 14, 16, 18, 20, 22, 24, 26, 28, 30]"
4279,74,0.00966787338256836,"[1, 0, 1, 1, 0, 0, 71]","[1, 2, 6, 12, 24, 48, 60]"
4279,35,0.007611989974975586,"[5, 0, 0, 2, 28]","[1, 6, 13, 37, 150]"
